,order,book,book_long,eng,on
0,1,창,창세기,Genesis,구약
1,2,출,출애굽기,Exodus,구약
2,3,레,레위기,Leviticus,구약
3,4,민,민수기,Numbers,구약
4,5,신,신명기,Deuteronomy,구약
5,6,수,여호수아,Joshua,구약
6,7,삿,사사기,Judges,구약
7,8,룻,룻기,Ruth,구약
8,9,삼상,사무엘상,1_Samuel,구약
9,10,삼하,사무엘하,2_Samuel,구약
10,11,왕상,열왕기상,1_Kings,구약
11,12,왕하,열왕기하,2_Kings,구약
12,13,대상,역대상,1_Chronicles,구약
13,14,대하,역대하,2_Chronicles,구약
14,15,스,에스라,Ezra,구약
15,16,느,느헤미야,Nehemiah,구약
16,17,에,에스더,Esther,구약
17,18,욥,욥기,Job,구약
18,19,시,시편,Psalms,구약
19,20,잠,잠언,Proverbs,구약
20,21,전,전도서,Ecclesiastes,구약
21,22,아,아가,Song_of_Songs,구약
22,23,사,이사야,Isaiah,구약
23,24,렘,예레미야,Jeremiah,구약
24,25,애,예레미야애가,Lamentations,구약
25,26,겔,에스겔,Ezekiel,구약
26,27,단,다니엘,Daniel,구약
27,28,호,호세아,Hosea,구약
28,29,욜,요엘,Joel,구약
29,30,암,아모스,Amos,구약
30,31,옵,오바댜,Obadiah,구약
31,32,욘,요나,Jonah,구약
32,33,미,미가,Micah,구약
33,34,나,나훔,Nahum,구약
34,35,합,하박국,Habakkuk,구약
35,36,습,스바냐,Zephaniah,구약
36,37,학,학개,Haggai,구약
37,38,슥,스가랴,Zechariah,구약
38,39,말,말라기,Malachi,구약
39,1,마,마태복음,Matthew,신약
40,2,막,마가복음,Mark,신약
41,3,눅,누가복음,Luke,신약
42,4,요,요한복음,John,신약
43,5,행,사도행전,Acts,신약
44,6,롬,로마서,Romans,신약
45,7,고전,고린도전서,1_Corinthians,신약
46,8,고후,고린도후서,2_Corinthians,신약
47,9,갈,갈라디아서,Galatians,신약
48,10,엡,에베소서,Ephesians,신약
49,11,빌,빌립보서,Philippians,신약
50,12,골,골로새서,Colossians,신약
51,13,살전,데살로니가전서,1_Thessalonians,신약
52,14,살후,데살로니가후서,2_Thessalonians,신약
53,15,딤전,디모데전서,1_Timothy,신약
54,16,딤후,디모데후서,2_Timothy,신약
55,17,딛,디도서,Titus,신약
56,18,몬,빌레몬서,Philemon,신약
57,19,히,히브리서,Hebrews,신약
58,20,약,야고보서,James,신약
59,21,벧전,베드로전서,1_Peter,신약
60,22,벧후,베드로후서,2_Peter,신약
61,23,요일,요한일서,1_John,신약
62,24,요이,요한이서,2_John,신약
63,25,요삼,요한삼서,3_John,신약
64,26,유,유다서,Jude,신약
65,27,계,요한계시록,Revelation,신약
